dataset,resource,field,pattern,value
area-of-outstanding-natural-beauty,,start-date,Sep-63,1963-09-01
area-of-outstanding-natural-beauty,,start-date,Aug-66,1966-08-01
area-of-outstanding-natural-beauty,,start-date,Feb-64,1964-02-01
area-of-outstanding-natural-beauty,,start-date,Mar-58,1958-03-01
area-of-outstanding-natural-beauty,,start-date,Sep-58,1958-09-01
area-of-outstanding-natural-beauty,,start-date,Sep-63,1963-09-01
area-of-outstanding-natural-beauty,,start-date,Dec-64,1964-12-01
area-of-outstanding-natural-beauty,,start-date,Jul-68,1968-07-01
area-of-outstanding-natural-beauty,,start-date,May-60,1960-05-01
area-of-outstanding-natural-beauty,,start-date,Aug-60,1960-08-01
area-of-outstanding-natural-beauty,,start-date,Jan-57,1957-01-01
area-of-outstanding-natural-beauty,,start-date,Oct-59,1959-10-01
area-of-outstanding-natural-beauty,,start-date,Apr-68,1968-04-01
area-of-outstanding-natural-beauty,,start-date,May-58,1958-05-01
area-of-outstanding-natural-beauty,,start-date,Mar-59,1959-03-01
area-of-outstanding-natural-beauty,,start-date,Nov-59,1959-11-01
area-of-outstanding-natural-beauty,,start-date,Feb-64,1964-02-01
area-of-outstanding-natural-beauty,,start-date,Jul-59,1959-07-01
