prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
community-infrastructure-levy-schedule,,,,government-organisation:D1342,ARU/1,900000,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BAB/1,900001,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BAI/1,900002,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BAN/1,900003,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BAE/1,900004,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BAS/1,900005,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BDF/1,900006,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BIR/1,900007,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BLA/1,900008,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,KIN/1,900009,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BPC/1,900010,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BPC/2,900011,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BPC/3,900012,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BRC/1,900013,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BRW/1,900014,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BNH/1,900015,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BST/1,900016,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BRO/1,900017,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BRM/1,900018,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BRX/1,900019,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BRT/1,900020,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BUC/1,900021,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,CAB/1,900022,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,CAM/1,900023,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,CAN/1,900024,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,CAT/1,900025,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,CAS/1,900026,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,CBF/1,900027,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,CHA/1,900028,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,CHL/1,900029,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,CHT/1,900030,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,CHR/1,900031,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,CHE/1,900032,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,CHW/1,900033,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,CHS/1,900034,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,CHI/1,900035,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,CHO/1,900036,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BRD/1,900037,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,LIC/1,900038,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,LND/1,900039,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,WSM/1,900040,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,COL/1,900041,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,CON/1,900042,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,COT/1,900043,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,CRW/1,900044,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,DAC/1,900045,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,DAL/1,900046,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,DAR/1,900047,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,DER/1,900048,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,DBY/1,900049,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,DEB/1,900050,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,DEV/1,900051,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,DNC/1,900052,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,DST/1,900053,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,DST/2,900054,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,DST/3,900055,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,DST/4,900056,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,DOV/1,900057,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,DUD/1,900058,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,ECA/1,900059,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,EDE/1,900060,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,EHA/1,900061,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,ESK/1,900062,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,ESX/1,900063,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,ESX/4,900064,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,ESX/6,900065,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,ESX/8,900066,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,EAS/1,900067,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,ELM/1,900068,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,EPS/1,900069,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,EXE/1,900070,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,FAR/1,900071,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,SHE/1,900072,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,GAT/1,900073,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,GED/1,900074,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,GLO/1,900075,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,GOS/1,900076,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,GLA/1,900077,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,HAA/1,900078,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,HER/1,900079,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,HOR/1,900080,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,HUN/1,900081,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,KIR/1,900082,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,LDS/1,900083,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,LEE/1,900084,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,LIF/1,900085,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BDG/1,900086,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BNE/1,900087,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,BEX/1,900088,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,SHR/1,900089,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,SOL/1,900090,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,SMT/1,900091,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,SMT/2,900092,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,SMT/3,900093,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,SMT/4,900094,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,SMT/5,900095,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,SMT/6,900096,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,SGC/1,900097,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,SNO/1,900098,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,SOX/1,900099,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,SRI/1,900100,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,STH/1,900101,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,SOS/1,900102,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,STV/1,900103,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,STR/1,900104,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,STO/1,900105,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,SUR/1,900106,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,SWD/1,900107,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,TAW/1,900108,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,TAN/1,900109,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,TEI/1,900110,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,TEN/1,900111,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,TES/1,900112,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,TEW/1,900113,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,THE/1,900114,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,TOB/1,900115,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,TRF/1,900116,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,VAL/1,900117,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,WKF/1,900118,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,WAW/1,900119,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,WAT/1,900120,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,WAE/1,900121,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,WEA/1,900122,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,WEW/1,900123,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,WBK/1,900124,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,WLA/1,900125,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,WLI/1,900126,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,WNUA/1,900127,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,WAF/1,900128,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,WIN/1,900129,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,WOI/1,900130,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,WOK/1,900131,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,WOC/1,900132,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,WOT/1,900133,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,WYC/1,900134,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,NYUA/1,900135,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,NYUA/2,900136,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,NYUA/3,900137,,,
community-infrastructure-levy-schedule,,,,government-organisation:D1342,NYUA/4,900138,,,
