column,dataset,end-date,endpoint,entry-date,field,resource,start-date
Developer-Agreement,developer-agreement,,,,reference,,
Developer Agreement,developer-agreement,,,,reference,,
Organisation,developer-agreement,,,,organisation,,
Created,developer-agreement,,,,entry-date,,
Start Date,developer-agreement,,,,start-date,,
End Date,developer-agreement,,,,end-date,,
Planning Application,developer-agreement,,,,planning-application,,
Document URL,developer-agreement,,,,document-url,,
Ext Document-URL,developer-agreement,,,,document-url,,
Agreement Type,developer-agreement,,,,developer-agreement-type,,
Developer Agreement Type,developer-agreement,,,,developer-agreement-type,,
"""Developer-agreeement""",developer-agreement,,,,reference,,
"""start-date""",developer-agreement,,,,start-date,,
"""planning-application""",developer-agreement,,,,planning-application,,
Planning Application(s),developer-agreement,,,,planning-application,,
