prefix,resource,organisation,reference,entity,entry-number,start-date,end-date,entry-date,endpoint
infrastructure-project,,government-organisation:EA39,WS010006,11100000000,,,,,
infrastructure-project-type,,government-organisation:EA39,generating-station,11020000000,,,,,
infrastructure-project-event,,government-organisation:EA39,pre-application,11030000000,,,,,
infrastructure-project-document-type,,government-organisation:EA39,development-constent-order,11040000000,,,,,
infrastructure-project-decision,,government-organisation:EA39,consent-granted,11010000000,,,,,
infrastructure-project-type,,government-organisation:EA39,electricity-line,11010000001,,,,,
infrastructure-project-type,,government-organisation:EA39,waste-and-water,11010000002,,,,,
infrastructure-project-type,,government-organisation:EA39,pipeline,11010000003,,,,,
infrastructure-project-type,,government-organisation:EA39,energy,11010000004,,,,,
infrastructure-project-type,,government-organisation:EA39,transport,11010000005,,,,,
infrastructure-project-type,,government-organisation:EA39,business-and-commercial,11010000006,,,,,
infrastructure-project-type,,government-organisation:EA39,water,11010000007,,,,,
infrastructure-project-type,,government-organisation:EA39,waste,11010000008,,,,,
infrastructure-project-type,,government-organisation:EA39,waste-water,11010000009,,,,,
infrastructure-project-event,,government-organisation:EA39,acceptance,11010000242,,,,,
infrastructure-project-event,,government-organisation:EA39,pre-examination,11010000243,,,,,
infrastructure-project-event,,government-organisation:EA39,Examination,11010000244,,,,,
infrastructure-project-event,,government-organisation:EA39,reccomendation,11010000245,,,,,
infrastructure-project-event,,government-organisation:EA39,recommendation-and-decision,11010000246,,,,,
infrastructure-project-event,,government-organisation:EA39,decided,11010000247,,,,,
infrastructure-project-event,,government-organisation:EA39,post-decision,11010000248,,,,,
infrastructure-project-event,,government-organisation:EA39,withdrawn,11010000249,,,,,
infrastructure-project-document-type,,government-organisation:EA39,project-acceptance-letter,11010000250,,,,,
infrastructure-project-document-type,,government-organisation:EA39,section-56-notice,11010000251,,,,,
infrastructure-project-document-type,,government-organisation:EA39,site-visit-report,11010000252,,,,,
infrastructure-project-document-type,,government-organisation:EA39,decision-notice,11010000253,,,,,
infrastructure-project-decision,,government-organisation:EA39,consent-rejected,11010000254,,,,,
infrastructure-project-decision,,government-organisation:EA39,withdrawn,11010000255,,,,,
infrastructure-project-decision,,government-organisation:EA39,appealed,11010000256,,,,,
infrastructure-project,,government-organisation:EA39,EN010151,11100000001,,,,,
infrastructure-project,,government-organisation:EA39,EN010142,11100000002,,,,,
infrastructure-project,,government-organisation:EA39,EN010115,11100000003,,,,,
infrastructure-project,,government-organisation:EA39,EN020027,11100000004,,,,,
infrastructure-project,,government-organisation:EA39,EN010138,11100000005,,,,,
infrastructure-project,,government-organisation:EA39,EN010139,11100000006,,,,,
infrastructure-project,,government-organisation:EA39,EN010150,11100000007,,,,,
infrastructure-project,,government-organisation:EA39,EN010155,11100000008,,,,,
infrastructure-project,,government-organisation:EA39,EN010121,11100000009,,,,,
infrastructure-project,,government-organisation:EA39,EN020032,11100000010,,,,,
infrastructure-project,,government-organisation:EA39,EN010147,11100000011,,,,,
infrastructure-project,,government-organisation:EA39,TR050008,11100000012,,,,,
infrastructure-project,,government-organisation:EA39,EN030003,11100000013,,,,,
infrastructure-project,,government-organisation:EA39,EN010125,11100000014,,,,,
infrastructure-project,,government-organisation:EA39,EN010152,11100000015,,,,,
infrastructure-project,,government-organisation:EA39,EN010140,11100000016,,,,,
infrastructure-project,,government-organisation:EA39,EN010148,11100000017,,,,,
infrastructure-project,,government-organisation:EA39,WA010002,11100000018,,,,,
infrastructure-project,,government-organisation:EA39,EN010128,11100000019,,,,,
infrastructure-project,,government-organisation:EA39,TR010060,11100000020,,,,,
infrastructure-project,,government-organisation:EA39,TR010018,11100000021,,,,,
infrastructure-project,,government-organisation:EA39,TR010007,11100000022,,,,,
infrastructure-project,,government-organisation:EA39,TR010017,11100000023,,,,,
infrastructure-project,,government-organisation:EA39,TR010020,11100000024,,,,,
infrastructure-project,,government-organisation:EA39,TR010024,11100000025,,,,,
infrastructure-project,,government-organisation:EA39,TR010031,11100000026,,,,,
infrastructure-project,,government-organisation:EA39,TR010059,11100000027,,,,,
infrastructure-project,,government-organisation:EA39,TR010045,11100000028,,,,,
infrastructure-project,,government-organisation:EA39,TR010036,11100000029,,,,,
infrastructure-project,,government-organisation:EA39,TR010025,11100000030,,,,,
infrastructure-project,,government-organisation:EA39,TR010026,11100000031,,,,,
infrastructure-project,,government-organisation:EA39,TR010014,11100000032,,,,,
infrastructure-project,,government-organisation:EA39,TR010061,11100000033,,,,,
infrastructure-project,,government-organisation:EA39,TR010022,11100000034,,,,,
infrastructure-project,,government-organisation:EA39,TR010056,11100000035,,,,,
infrastructure-project,,government-organisation:EA39,TR010044,11100000036,,,,,
infrastructure-project,,government-organisation:EA39,TR010066,11100000037,,,,,
infrastructure-project,,government-organisation:EA39,TR010065,11100000038,,,,,
infrastructure-project,,government-organisation:EA39,TR010037,11100000039,,,,,
infrastructure-project,,government-organisation:EA39,TR010040,11100000040,,,,,
infrastructure-project,,government-organisation:EA39,TR010038,11100000041,,,,,
infrastructure-project,,government-organisation:EA39,TR010039,11100000042,,,,,
infrastructure-project,,government-organisation:EA39,TR010033,11100000043,,,,,
infrastructure-project,,government-organisation:EA39,TR010002,11100000044,,,,,
infrastructure-project,,government-organisation:EA39,TR010034,11100000045,,,,,
infrastructure-project,,government-organisation:EA39,TR010035,11100000046,,,,,
infrastructure-project,,government-organisation:EA39,TR010016,11100000047,,,,,
infrastructure-project,,government-organisation:EA39,TR010062,11100000048,,,,,
infrastructure-project,,government-organisation:EA39,EN010069,11100000049,,,,,
infrastructure-project,,government-organisation:EA39,TR030001,11100000050,,,,,
infrastructure-project,,government-organisation:EA39,TR030005,11100000051,,,,,
infrastructure-project,,government-organisation:EA39,TR030006,11100000052,,,,,
infrastructure-project,,government-organisation:EA39,EN010037,11100000053,,,,,
infrastructure-project,,government-organisation:EA39,EN020022,11100000054,,,,,
infrastructure-project,,government-organisation:EA39,EN010034,11100000055,,,,,
infrastructure-project,,government-organisation:EA39,EN010112,11100000056,,,,,
infrastructure-project,,government-organisation:EA39,TR040010,11100000057,,,,,
infrastructure-project,,government-organisation:EA39,EN010095,11100000058,,,,,
infrastructure-project,,government-organisation:EA39,EN010111,11100000059,,,,,
infrastructure-project,,government-organisation:EA39,EN020002,11100000060,,,,,
infrastructure-project,,government-organisation:EA39,EN020016,11100000061,,,,,
infrastructure-project,,government-organisation:EA39,EN010008,11100000062,,,,,
infrastructure-project,,government-organisation:EA39,EN010026,11100000063,,,,,
infrastructure-project,,government-organisation:EA39,WW010003,11100000064,,,,,
infrastructure-project,,government-organisation:EA39,EN010085,11100000065,,,,,
infrastructure-project,,government-organisation:EA39,EN010013,11100000066,,,,,
infrastructure-project,,government-organisation:EA39,EN020025,11100000067,,,,,
infrastructure-project,,government-organisation:EA39,EN010133,11100000068,,,,,
infrastructure-project,,government-organisation:EA39,TR050001,11100000069,,,,,
infrastructure-project,,government-organisation:EA39,TR050009,11100000070,,,,,
infrastructure-project,,government-organisation:EA39,EN010021,11100000071,,,,,
infrastructure-project,,government-organisation:EA39,EN010144,11100000072,,,,,
infrastructure-project,,government-organisation:EA39,EN010051,11100000073,,,,,
infrastructure-project,,government-organisation:EA39,EN010120,11100000074,,,,,
infrastructure-project,,government-organisation:EA39,EN010091,11100000075,,,,,
infrastructure-project,,government-organisation:EA39,EN010077,11100000076,,,,,
infrastructure-project,,government-organisation:EA39,EN010025,11100000077,,,,,
infrastructure-project,,government-organisation:EA39,EN010056,11100000078,,,,,
infrastructure-project,,government-organisation:EA39,EN010078,11100000079,,,,,
infrastructure-project,,government-organisation:EA39,TR050002,11100000080,,,,,
infrastructure-project,,government-organisation:EA39,TR050003,11100000081,,,,,
infrastructure-project,,government-organisation:EA39,WS010001,11100000082,,,,,
infrastructure-project,,government-organisation:EA39,WS010005,11100000083,,,,,
infrastructure-project,,government-organisation:EA39,TR040012,11100000084,,,,,
infrastructure-project,,government-organisation:EA39,EN010143,11100000085,,,,,
infrastructure-project,,government-organisation:EA39,EN010081,11100000086,,,,,
infrastructure-project,,government-organisation:EA39,TR020003,11100000087,,,,,
infrastructure-project,,government-organisation:EA39,WA010004,11100000088,,,,,
infrastructure-project,,government-organisation:EA39,EN010094,11100000089,,,,,
infrastructure-project,,government-organisation:EA39,EN010061,11100000090,,,,,
infrastructure-project,,government-organisation:EA39,EN010154,11100000091,,,,,
infrastructure-project,,government-organisation:EA39,EN010153,11100000092,,,,,
infrastructure-project,,government-organisation:EA39,EN010003,11100000093,,,,,
infrastructure-project,,government-organisation:EA39,EN010131,11100000094,,,,,
infrastructure-project,,government-organisation:EA39,TR020005,11100000095,,,,,
infrastructure-project,,government-organisation:EA39,EN010072,11100000096,,,,,
infrastructure-project,,government-organisation:EA39,TR010043,11100000097,,,,,
infrastructure-project,,government-organisation:EA39,EN020035,11100000098,,,,,
infrastructure-project,,government-organisation:EA39,EN070009,11100000099,,,,,
infrastructure-project,,government-organisation:EA39,TR020004,11100000100,,,,,
infrastructure-project,,government-organisation:EA39,EN010123,11100000101,,,,,
infrastructure-project,,government-organisation:EA39,TR010008,11100000102,,,,,
infrastructure-project,,government-organisation:EA39,TR050007,11100000103,,,,,
infrastructure-project,,government-organisation:EA39,EN020001,11100000104,,,,,
infrastructure-project,,government-organisation:EA39,EN010001,11100000105,,,,,
infrastructure-project,,government-organisation:EA39,EN010102,11100000106,,,,,
infrastructure-project,,government-organisation:EA39,EN010059,11100000107,,,,,
infrastructure-project,,government-organisation:EA39,EN010033,11100000108,,,,,
infrastructure-project,,government-organisation:EA39,EN010053,11100000109,,,,,
infrastructure-project,,government-organisation:EA39,EN010098,11100000110,,,,,
infrastructure-project,,government-organisation:EA39,EN010080,11100000111,,,,,
infrastructure-project,,government-organisation:EA39,EN070006,11100000112,,,,,
infrastructure-project,,government-organisation:EA39,WS010004,11100000113,,,,,
infrastructure-project,,government-organisation:EA39,EN070007,11100000114,,,,,
infrastructure-project,,government-organisation:EA39,EN060006,11100000115,,,,,
infrastructure-project,,government-organisation:EA39,TR030007,11100000116,,,,,
infrastructure-project,,government-organisation:EA39,TR030008,11100000117,,,,,
infrastructure-project,,government-organisation:EA39,EN010062,11100000118,,,,,
infrastructure-project,,government-organisation:EA39,BC030001,11100000119,,,,,
infrastructure-project,,government-organisation:EA39,TR040002,11100000120,,,,,
infrastructure-project,,government-organisation:EA39,EN010114,11100000121,,,,,
infrastructure-project,,government-organisation:EA39,EN010090,11100000122,,,,,
infrastructure-project,,government-organisation:EA39,EN010036,11100000123,,,,,
infrastructure-project,,government-organisation:EA39,EN030002,11100000124,,,,,
infrastructure-project,,government-organisation:EA39,EN020003,11100000125,,,,,
infrastructure-project,,government-organisation:EA39,EN010050,11100000126,,,,,
infrastructure-project,,government-organisation:EA39,TR010023,11100000127,,,,,
infrastructure-project,,government-organisation:EA39,WA010003,11100000128,,,,,
infrastructure-project,,government-organisation:EA39,EN020033,11100000129,,,,,
infrastructure-project,,government-organisation:EA39,EN010101,11100000130,,,,,
infrastructure-project,,government-organisation:EA39,TR020001,11100000131,,,,,
infrastructure-project,,government-organisation:EA39,EN010118,11100000132,,,,,
infrastructure-project,,government-organisation:EA39,TR010032,11100000133,,,,,
infrastructure-project,,government-organisation:EA39,TR010009,11100000134,,,,,
infrastructure-project,,government-organisation:EA39,TR010006,11100000135,,,,,
infrastructure-project,,government-organisation:EA39,TR010030,11100000136,,,,,
infrastructure-project,,government-organisation:EA39,TR010029,11100000137,,,,,
infrastructure-project,,government-organisation:EA39,TR010055,11100000138,,,,,
infrastructure-project,,government-organisation:EA39,TR010027,11100000139,,,,,
infrastructure-project,,government-organisation:EA39,TR010019,11100000140,,,,,
infrastructure-project,,government-organisation:EA39,TR010054,11100000141,,,,,
infrastructure-project,,government-organisation:EA39,TR010063,11100000142,,,,,
infrastructure-project,,government-organisation:EA39,TR010064,11100000143,,,,,
infrastructure-project,,government-organisation:EA39,EN010127,11100000144,,,,,
infrastructure-project,,government-organisation:EA39,TR020002,11100000145,,,,,
infrastructure-project,,government-organisation:EA39,EN010064,11100000146,,,,,
infrastructure-project,,government-organisation:EA39,EN010110,11100000147,,,,,
infrastructure-project,,government-organisation:EA39,EN020010,11100000148,,,,,
infrastructure-project,,government-organisation:EA39,EN010068,11100000149,,,,,
infrastructure-project,,government-organisation:EA39,TR010010,11100000150,,,,,
infrastructure-project,,government-organisation:EA39,EN010020,11100000151,,,,,
infrastructure-project,,government-organisation:EA39,EN020023,11100000152,,,,,
infrastructure-project,,government-organisation:EA39,EN010024,11100000153,,,,,
infrastructure-project,,government-organisation:EA39,EN010087,11100000154,,,,,
infrastructure-project,,government-organisation:EA39,EN010079,11100000155,,,,,
infrastructure-project,,government-organisation:EA39,TR050006,11100000156,,,,,
infrastructure-project,,government-organisation:EA39,TR040001,11100000157,,,,,
infrastructure-project,,government-organisation:EA39,EN010119,11100000158,,,,,
infrastructure-project,,government-organisation:EA39,EN020034,11100000159,,,,,
infrastructure-project,,government-organisation:EA39,EN010038,11100000160,,,,,
infrastructure-project,,government-organisation:EA39,EN010116,11100000161,,,,,
infrastructure-project,,government-organisation:EA39,EN020009,11100000162,,,,,
infrastructure-project,,government-organisation:EA39,EN010071,11100000163,,,,,
infrastructure-project,,government-organisation:EA39,EN020014,11100000164,,,,,
infrastructure-project,,government-organisation:EA39,TR010015,11100000165,,,,,
infrastructure-project,,government-organisation:EA39,EN010122,11100000166,,,,,
infrastructure-project,,government-organisation:EA39,TR030004,11100000167,,,,,
infrastructure-project,,government-organisation:EA39,EN010159,11100000168,,,,,
infrastructure-project,,government-organisation:EA39,EN010130,11100000169,,,,,
infrastructure-project,,government-organisation:EA39,EN010039,11100000170,,,,,
infrastructure-project,,government-organisation:EA39,EN010157,11100000171,,,,,
infrastructure-project,,government-organisation:EA39,WS010002,11100000172,,,,,
infrastructure-project,,government-organisation:EA39,EN010016,11100000173,,,,,
infrastructure-project,,government-organisation:EA39,TR040011,11100000174,,,,,
infrastructure-project,,government-organisation:EA39,EN030001,11100000175,,,,,
infrastructure-project,,government-organisation:EA39,EN010060,11100000176,,,,,
infrastructure-project,,government-organisation:EA39,EN010117,11100000177,,,,,
infrastructure-project,,government-organisation:EA39,EN010032,11100000178,,,,,
infrastructure-project,,government-organisation:EA39,TR040005,11100000179,,,,,
infrastructure-project,,government-organisation:EA39,EN020021,11100000180,,,,,
infrastructure-project,,government-organisation:EA39,EN020017,11100000181,,,,,
infrastructure-project,,government-organisation:EA39,EN060004,11100000182,,,,,
infrastructure-project,,government-organisation:EA39,EN010093,11100000183,,,,,
infrastructure-project,,government-organisation:EA39,WA020001,11100000184,,,,,
infrastructure-project,,government-organisation:EA39,EN010011,11100000185,,,,,
infrastructure-project,,government-organisation:EA39,EN010158,11100000186,,,,,
infrastructure-project,,government-organisation:EA39,EN010058,11100000187,,,,,
infrastructure-project,,government-organisation:EA39,EN020026,11100000188,,,,,
infrastructure-project,,government-organisation:EA39,EN010109,11100000189,,,,,
infrastructure-project,,government-organisation:EA39,TR010021,11100000190,,,,,
infrastructure-project,,government-organisation:EA39,EN010129,11100000191,,,,,
infrastructure-project,,government-organisation:EA39,EN070005,11100000192,,,,,
infrastructure-project,,government-organisation:EA39,EN010054,11100000193,,,,,
infrastructure-project,,government-organisation:EA39,EN010107,11100000194,,,,,
infrastructure-project,,government-organisation:EA39,EN020008,11100000195,,,,,
infrastructure-project,,government-organisation:EA39,EN010149,11100000196,,,,,
infrastructure-project,,government-organisation:EA39,TR040004,11100000197,,,,,
infrastructure-project,,government-organisation:EA39,EN010135,11100000198,,,,,
infrastructure-project,,government-organisation:EA39,EN010106,11100000199,,,,,
infrastructure-project,,government-organisation:EA39,EN010082,11100000200,,,,,
infrastructure-project,,government-organisation:EA39,EN010126,11100000201,,,,,
infrastructure-project,,government-organisation:EA39,BC010001,11100000202,,,,,
infrastructure-project,,government-organisation:EA39,WW010001,11100000203,,,,,
infrastructure-project,,government-organisation:EA39,EN010084,11100000204,,,,,
infrastructure-project,,government-organisation:EA39,BC080001,11100000205,,,,,
infrastructure-project,,government-organisation:EA39,EN010103,11100000206,,,,,
infrastructure-project,,government-organisation:EA39,EN010012,11100000207,,,,,
infrastructure-project,,government-organisation:EA39,EN010074,11100000208,,,,,
infrastructure-project,,government-organisation:EA39,EN070003,11100000209,,,,,
infrastructure-project,,government-organisation:EA39,EN010092,11100000210,,,,,
infrastructure-project,,government-organisation:EA39,EN010073,11100000211,,,,,
infrastructure-project,,government-organisation:EA39,EN010049,11100000212,,,,,
infrastructure-project,,government-organisation:EA39,EN010099,11100000213,,,,,
infrastructure-project,,government-organisation:EA39,TR030003,11100000214,,,,,
infrastructure-project,,government-organisation:EA39,EN020019,11100000215,,,,,
infrastructure-project,,government-organisation:EA39,EN010005,11100000216,,,,,
infrastructure-project,,government-organisation:EA39,EN070008,11100000217,,,,,
infrastructure-project,,government-organisation:EA39,EN010097,11100000218,,,,,
infrastructure-project,,government-organisation:EA39,EN010027,11100000219,,,,,
infrastructure-project,,government-organisation:EA39,EN010088,11100000220,,,,,
infrastructure-project,,government-organisation:EA39,EN010132,11100000221,,,,,
infrastructure-project,,government-organisation:EA39,TR040009,11100000222,,,,,
infrastructure-project,,government-organisation:EA39,TR050005,11100000223,,,,,
infrastructure-project,,government-organisation:EA39,EN010083,11100000224,,,,,
infrastructure-project,,government-organisation:EA39,WS010003,11100000225,,,,,
infrastructure-project,,government-organisation:EA39,EN010048,11100000226,,,,,
infrastructure-project,,government-organisation:EA39,EN060001,11100000227,,,,,
infrastructure-project,,government-organisation:EA39,TR010011,11100000228,,,,,
infrastructure-project,,government-organisation:EA39,EN010055,11100000229,,,,,
infrastructure-project,,government-organisation:EA39,TR030002,11100000230,,,,,
infrastructure-project,,government-organisation:EA39,EN070001,11100000231,,,,,
infrastructure-project,,government-organisation:EA39,EN020024,11100000232,,,,,
