dataset,endpoint,resource,column,field,start-date,end-date,entry-date
development-plan-timetable,,,local-plan,development-plan,,,
development-plan-timetable,,,minerals-plan,development-plan,,,
development-plan-timetable,,,waste-plan,development-plan,,,
development-plan-timetable,,,local-plan-event,development-plan-event,,,
development-plan-timetable,,,minerals-plan-event,development-plan-event,,,
development-plan-timetable,,,waste-plan-event,development-plan-event,,,
development-plan-timetable,,,plan-event,development-plan-event,,,
development-plan-document,,,local-plan,development-plan,,,
development-plan-document,,,minerals-plan,development-plan,,,
development-plan-document,,,waste-plan,development-plan,,,
